,Name,Is Potentially Hazardous,Minimum Orbit Intersection,Absolute Magnitude,Close Approach Date,Miles per Hour,Miss Distance,First Observationv Date,Last Observationv Date
18701,(2010 WR7),False,.0253198,23.5,1903-12-17,21112.3004987779,7956353.5,2010-11-27,2012-08-12
18702,(2010 WF3),False,.177458,20.9,1903-01-15,44572.6880398169,39156748,2001-10-20,2011-09-07
18703,(2010 WB3),False,.110802,19.9,1907-07-16,61028.9198719478,11451449,2010-11-26,2012-11-10
18704,(2010 WT8),False,.071108,21.9,1902-06-13,14698.6682746258,6948706,2010-11-27,2016-09-07
18705,(2010 WC9),False,.00111857,23.6,1905-05-06,38506.4713717413,18441072,2010-11-30,2018-05-15
18706,(2010 XJ3),False,.0591249,21.2,1900-11-15,17733.0668135613,7424306.5,2010-12-03,2016-01-16
18707,(2010 XC15),True,.00253884,21.4,1900-12-09,19356.9017001132,7188257.5,2010-12-05,2017-11-27
18708,(2010 XA68),True,.0478726,21.9,1903-11-30,74572.8258987988,31453000,2010-12-14,2015-12-12
18709,(2010 XQ69),False,.00820065,23.2,1900-11-16,34179.3142538727,5598653.5,2010-12-14,2016-01-10
18710,(2010 XX72),False,.038635,22.1,1901-08-08,20842.7200832745,8622208,2010-12-15,2016-12-09
18711,(2011 AC3),False,.0469887,22.4,1900-07-03,48856.3416332223,41657968,2011-01-04,2012-01-03
18712,(2011 AH5),False,.00366824,26.0,1903-12-21,54637.5074653949,46440992,2011-01-08,2012-08-13
18713,(2011 AX22),False,.00112723,24.7,1929-04-26,15382.5051378848,18484776,2011-01-10,2012-02-20
18714,(2011 AM24),True,.00957357,20.5,1900-07-12,21828.2066430999,18854636,2011-01-11,2016-02-25
18715,(2011 AW55),False,.175987,20.5,1901-01-14,49367.852734661,8213341,2002-12-31,2018-01-22
18716,(2011 BF59),False,.0963529,19.2,1903-05-26,45446.3460906944,17522388,2010-12-26,2015-12-09
18717,(2011 CG2),True,.0298861,21.4,1900-12-04,13786.5804310784,32058226,2011-01-11,2016-02-10
18718,(2011 CC22),True,.0207881,21.0,1904-02-05,39627.0012051962,29204276,2011-02-06,2018-01-18
18719,(2011 CX46),True,.0308832,22.1,1900-05-09,32538.1022311029,31526982,2011-02-11,2018-09-16
18720,(2011 DW),False,.0338943,23.0,1900-02-04,33215.6913969045,35542388,2011-02-23,2011-03-06
18721,(2011 EK),False,.0554873,22.4,1903-01-19,41427.2313875774,43410628,2011-03-01,2011-03-29
18722,(2011 EX4),False,.00380941,24.6,1901-11-29,19484.1207280301,28812694,2011-03-02,2015-04-18
18723,(2011 EG17),True,.0440501,20.6,1903-10-07,28076.9563401322,22341414,2011-03-06,2016-04-01
18724,(2011 EF17),True,.0107689,19.2,1903-02-05,41555.87181946,2509072,2011-03-05,2011-11-15
